hip,ra_deg,dec_deg,v_mag,b_v
2213,6.99360814,19.51403887,6.40,0.990
2219,7.01214583,17.89312479,5.01,1.584
2224,7.05293302,16.44506552,6.05,1.580
2225,7.05689073,44.39445199,5.18,0.043
2235,7.08354832,10.18984766,6.05,0.447
2237,7.08790055,-20.33505057,6.44,0.594
2240,7.11050391,-39.91500236,5.42,1.556
2256,7.17969687,-50.53285929,6.26,1.090
2270,7.23609127,36.89969434,6.28,0.916
2337,7.46623887,-14.86410912,6.15,0.388
2353,7.50982453,-3.95733189,5.72,1.545
2355,7.53068761,29.75155669,5.20,0.271
2377,7.58305272,59.97755442,5.94,-0.003
2381,7.59439188,-23.78768034,5.17,0.128
2383,7.60882391,-48.21491040,5.67,0.367
2388,7.61593870,-40.93958587,6.18,0.315
2422,7.72949979,77.01940431,6.18,0.883
2472,7.85408632,-48.80351439,4.76,0.018
2474,7.85512589,66.51961732,6.18,-0.100
2475,7.85683233,33.58164217,5.88,1.133
2484,7.88611087,-62.95821764,4.36,-0.064
2487,7.88945045,-62.96556114,4.53,0.147
2497,7.92148970,52.83952650,5.59,1.163
2505,7.94316214,54.52228873,4.74,-0.098
2548,8.09909149,6.95546321,5.69,-0.014
2568,8.14785798,20.29431643,5.38,1.069
2578,8.18293786,-63.03149984,5.07,0.038
2583,8.20452929,28.28024062,6.26,0.965
2599,8.24996522,62.93178271,4.17,0.130
2611,8.29331086,54.89498495,5.93,1.037
2628,8.33027900,70.98184323,6.41,-0.007
2629,8.34732858,-71.26624641,6.11,0.265
2661,8.42101003,-29.55827820,5.55,1.262
2663,8.43252523,-35.00207835,6.41,0.617
2707,8.60383943,66.75035143,6.47,-0.049
2711,8.61596951,-52.37309006,5.57,0.472
2734,8.73068052,13.37113666,6.39,1.136
2762,8.81199674,-3.59284649,5.20,0.567
2787,8.88680600,-0.50560963,5.94,0.444
2789,8.88891067,-54.82187272,6.04,1.001
2802,8.92156654,-48.00090673,5.51,0.461
2832,8.97833944,13.20706730,6.32,0.517
2846,9.01315183,-14.97303508,6.45,1.063
2852,9.02857220,-22.84233332,6.06,0.297
2854,9.03462681,54.16845015,5.08,-0.098
2876,9.11393972,60.32621461,5.78,0.294
2889,9.15687960,-65.12444559,6.43,1.260
2900,9.19350416,44.48858693,5.14,1.587
2903,9.19713461,15.23172547,5.89,-0.146
2912,9.22020689,33.71934362,4.34,-0.123
2920,9.24285251,53.89690937,3.69,-0.196
2926,9.27995656,24.01413647,6.18,1.170
2937,9.32602545,-54.39381901,6.40,0.995
2941,9.33625274,-24.76726709,5.57,0.715
2942,9.33841421,35.39950145,5.45,0.886
2954,9.37704678,3.13535107,6.43,1.339
3031,9.63894077,29.31175144,4.34,0.871
3056,9.70326150,-25.10781885,6.43,1.482
3083,9.79122542,49.35458862,5.45,1.644
3092,9.83198236,30.86102393,3.27,1.268
3093,9.84085866,21.25047245,5.88,0.850
3132,9.94686367,82.49376241,6.38,0.551
3137,9.96645783,-44.79629257,6.00,1.142
3138,9.98154900,21.43849510,5.36,1.160
3170,10.10695771,-59.45460432,5.89,0.564
3175,10.11909370,-16.51667606,6.49,0.910
3179,10.12683548,56.53733109,2.24,1.170
3185,10.13670406,-23.80487605,6.14,0.718
3193,10.17655087,-4.35184070,5.90,1.091
3231,10.27993550,39.45866407,5.30,0.891
3245,10.33146537,-46.08500681,4.59,0.953
3269,10.40017685,24.62900846,6.06,0.298
3277,10.44332165,-56.50131553,5.72,0.131
3299,10.51425676,66.14759233,5.83,1.042
3300,10.51623134,50.51252576,4.80,-0.105
3330,10.61822148,-65.46803008,5.38,0.515
3334,10.62934357,58.75341065,6.18,-0.004
3352,10.67479109,-60.26280759,5.99,1.318
3356,10.67871585,-38.46348264,6.05,-0.024
3405,10.83849351,-57.46305996,4.36,0.024
3414,10.86695727,47.02454625,4.95,0.170
3419,10.89737940,-17.98660460,2.04,1.019
3436,10.95870021,-12.01181258,6.01,1.107
3455,11.04750551,-10.60955044,4.77,0.998
3456,11.05041376,-38.42168566,5.90,1.144
3478,11.10913203,47.86398376,5.66,-0.113
3489,11.13189083,-62.49759073,6.06,0.446
3504,11.18132380,48.28436410,4.48,-0.069
3505,11.18498226,-22.00613523,5.22,0.350
3521,11.23772103,-42.67655849,5.94,0.297
3527,11.24975308,-53.71489502,6.15,0.524
3544,11.32156044,55.22139572,5.41,0.022
3552,11.35052385,-4.62915989,6.15,1.652
3559,11.36953277,-12.88080960,6.15,0.603
3572,11.41282360,74.98807307,5.64,0.078
3576,11.42378103,-16.42421984,6.47,0.314
3583,11.43997080,-47.55198527,5.80,0.635
3604,11.54505610,44.86149712,6.03,-0.063
3607,11.54897393,-22.52209695,5.49,0.978
3632,11.63732574,15.47550446,5.36,1.559
3641,11.66044163,69.32540848,6.39,0.424
3649,11.67691363,59.57453908,6.41,1.081
3675,11.75607711,11.97384928,5.51,0.987
3685,11.80677889,19.57870241,6.11,0.270
3693,11.83468919,24.26717799,4.08,1.100
3697,11.84846603,6.74095641,5.98,0.941
3717,11.93008447,-18.06133903,5.70,1.300
3721,11.94188855,74.84757295,5.42,-0.066
3741,12.00444392,-21.72249221,5.57,-0.058
3750,12.03807254,72.67448173,5.86,1.010
3760,12.07254207,7.29992806,5.92,1.104
3765,12.09573817,5.28061493,5.74,0.890
3781,12.14757205,-74.92343763,5.09,1.345
3786,12.17060122,7.58507917,4.44,1.500
3801,12.20842239,50.96816767,4.90,-0.091
3807,12.23636576,-46.69764768,6.28,0.897
3810,12.24461788,16.94064377,5.07,0.502
3821,12.27621323,57.81518734,3.46,0.587
3834,12.30811653,-24.13667172,5.90,0.944
3849,12.35673214,-13.56127432,5.59,1.325
3858,12.38929139,-23.36214378,6.27,0.132
3881,12.45353036,41.07891087,4.53,-0.136
3885,12.47152416,27.71028626,5.55,0.398
3903,12.51569613,-43.39492110,6.49,0.286
3909,12.53162924,-10.64432569,5.17,0.514
3919,12.57609908,45.00225763,6.13,0.043
3949,12.67161010,-50.98681565,5.24,0.356
3951,12.68171635,64.24754961,5.35,0.528
3965,12.73914815,51.50803252,6.38,0.307
3988,12.81826239,61.80549368,6.04,1.880
3992,12.82635023,3.38501997,6.39,1.069
4023,12.89078300,51.57142663,6.22,0.032
4104,13.16926991,-24.00584405,5.47,1.275
4147,13.25205960,-1.14426019,4.78,1.550
4151,13.26748600,61.12396986,4.80,0.540
4164,13.30191993,-24.77687583,6.44,0.439
4185,13.36759762,37.41820943,6.07,1.139
4200,13.40780824,-62.87135169,5.73,1.574
4212,13.44833067,52.68929342,6.27,0.191
4257,13.57330376,-8.74066162,6.15,0.911
4267,13.64677843,19.18841742,5.80,-0.016
4283,13.72122324,83.70743556,5.59,0.105
4288,13.74211318,23.62833516,5.46,1.012
4292,13.75065219,58.97269767,4.83,1.216
4293,13.75130243,-69.52708424,5.45,1.095
4298,13.77168101,48.67852014,6.28,1.681
4317,13.81113572,24.55706196,6.19,1.546
4346,13.92666730,-7.34714891,5.88,1.520
4363,13.98140300,-27.77583946,6.11,1.674
4366,13.99378853,27.20938091,6.08,0.133
4371,14.00620874,-11.26652632,5.35,1.505
4382,14.03800455,13.95196051,6.46,0.962
4383,14.05405338,57.99655716,6.20,1.376
4422,14.16627130,59.18105564,4.62,0.957
4427,14.17721554,60.71674038,2.15,-0.046
4436,14.18838148,38.49934462,3.86,0.130
4440,14.19572198,60.36283610,5.56,-0.054
4446,14.22977595,68.77565695,6.39,0.375
4463,14.30166657,23.41764802,4.40,0.940
4475,14.33169087,61.42189540,6.44,0.940
4501,14.41518873,45.83937883,6.10,1.028
4510,14.45896617,28.99221671,5.44,1.076
4520,14.47713233,13.69586509,6.30,0.895
4552,14.55924644,33.95088455,5.99,1.000
4558,14.57871664,21.40449484,6.47,0.089
4563,14.59261908,-60.69623899,6.23,0.096
4572,14.62942551,66.35179335,5.97,-0.008
4577,14.65150376,-29.35744905,4.30,-0.154
4587,14.68278241,-11.37997546,5.62,0.949
4655,14.95702752,6.48322520,6.14,1.654
